Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,1966.168212448339,1.7679648399353027
1,prim,1.0,false,false,1964.8580839564231,3.002758026123047
1,kruskal,2.0,false,false,1991.2301031579173,0.8718438148498535
1,prim,2.0,false,false,1989.3988021586713,3.004599094390869
1,kruskal,1.0,true,false,1977.7422818833238,1.5783309936523438
1,prim,1.0,true,false,1981.2197175573929,3.0894508361816406
1,kruskal,2.0,true,false,2004.8354039914861,1.0855319499969482
1,prim,2.0,true,false,2005.3331510978157,3.05599308013916
2,kruskal,1.0,false,false,2075.6318044655986,0.958467960357666
2,prim,1.0,false,false,1988.9705189635176,2.986933946609497
2,kruskal,2.0,false,false,1860.7190781015427,1.1884629726409912
2,prim,2.0,false,false,2085.856183561821,3.0419869422912598
2,kruskal,1.0,true,false,2022.424198548956,1.0743520259857178
2,prim,1.0,true,false,1942.9159320071367,3.367568016052246
2,kruskal,2.0,true,false,1898.3512075040587,1.1474041938781738
2,prim,2.0,true,false,2046.3988896055716,3.02223801612854
3,kruskal,1.0,false,false,1968.1090773982564,1.0670289993286133
3,prim,1.0,false,false,1963.9679349741214,3.0082459449768066
3,kruskal,2.0,false,false,1989.7957561441576,0.8944680690765381
3,prim,2.0,false,false,1988.8871543673597,3.0203840732574463
3,kruskal,1.0,true,false,1979.5456966045622,1.1249010562896729
3,prim,1.0,true,false,1977.6789357381106,2.9782278537750244
3,kruskal,2.0,true,false,2006.3778517712915,1.0183820724487305
3,prim,2.0,true,false,2006.8950591885414,3.039067029953003
