Root,Algorithm,Step,Adaptive,Tour,Costs,Time
1,kruskal,1.0,false,false,936.7414640657996,2.2500879764556885
1,prim,1.0,false,false,936.1184442465633,15.419282913208008
1,kruskal,2.0,false,false,943.9183237183586,1.5014989376068115
1,prim,2.0,false,false,943.4329694155093,15.268927812576294
1,kruskal,1.0,true,false,939.9119067997685,2.616225004196167
1,prim,1.0,true,false,940.9859520224219,14.819971084594727
1,kruskal,2.0,true,false,948.5463843176126,1.4613568782806396
1,prim,2.0,true,false,948.7567004069658,15.680104970932007
2,kruskal,1.0,false,false,989.5607048347664,1.8327500820159912
2,prim,1.0,false,false,1011.6964554497458,15.171886920928955
2,kruskal,2.0,false,false,971.2684810657477,1.669175148010254
2,prim,2.0,false,false,953.5472581055509,14.958485126495361
2,kruskal,1.0,true,false,891.2859706653721,1.5890531539916992
2,prim,1.0,true,false,892.2893094621377,14.574596166610718
2,kruskal,2.0,true,false,884.4999088452537,1.657409906387329
2,prim,2.0,true,false,1027.9731026099241,16.862951040267944
3,kruskal,1.0,false,false,937.3154102948129,1.4674019813537598
3,prim,1.0,false,false,935.7331780803555,15.865696907043457
3,kruskal,2.0,false,false,943.599237727104,1.312591791152954
3,prim,2.0,false,false,943.2892397871224,16.165944814682007
3,kruskal,1.0,true,false,940.4765780717702,1.2734429836273193
3,prim,1.0,true,false,939.812755167403,16.19545292854309
3,kruskal,2.0,true,false,949.1262668619919,1.775763988494873
3,prim,2.0,true,false,949.2525993453922,15.576962947845459
